lead_id,created_date,lead_score,account_id,lead_source_id,lead_status_id,user_id,customer_id
LEA65783,2020-09-21,68,ACC85106,LSR00006,LST00001,USE70047,CUS35757
LEA42062,2021-01-19,32,ACC37018,LSR00002,LST00003,USE42561,CUS50908
LEA78448,2022-09-13,50,ACC21341,LSR00006,LST00002,USE01758,CUS19685
LEA96201,2021-10-26,13,ACC33506,LSR00002,LST00001,USE90173,CUS27996
LEA01635,2021-12-14,22,ACC99098,LSR00002,LST00003,USE40632,CUS17442
LEA24802,2021-03-07,76,ACC59577,LSR00003,LST00002,USE90173,CUS23589
LEA27258,2022-08-04,99,ACC90584,LSR00003,LST00003,USE01758,CUS55465
LEA78187,2020-10-22,61,ACC62831,LSR00005,LST00002,USE16130,CUS00154
LEA40819,2022-12-15,85,ACC10953,LSR00001,LST00002,USE95961,CUS96768
LEA59360,2021-12-26,57,ACC35180,LSR00003,LST00002,USE08695,CUS23247
LEA12713,2022-08-26,37,ACC05058,LSR00003,LST00001,USE08695,CUS08763
LEA50692,2022-07-16,63,ACC05667,LSR00001,LST00001,USE97715,CUS15981
LEA43998,2022-07-16,31,ACC41239,LSR00002,LST00001,USE21141,CUS12672
LEA59089,2020-01-02,30,ACC91988,LSR00004,LST00002,USE24976,CUS15130
LEA85790,2022-05-15,43,ACC16796,LSR00005,LST00003,USE51109,CUS08840
LEA32502,2020-11-23,20,ACC35796,LSR00001,LST00002,USE02355,CUS26176
LEA20471,2022-01-18,27,ACC70578,LSR00004,LST00003,USE14736,CUS13357
LEA37192,2021-04-30,61,ACC49778,LSR00001,LST00003,USE51109,CUS26577
LEA33652,2020-12-28,55,ACC59319,LSR00003,LST00003,USE02355,CUS79008
LEA19007,2022-07-02,85,ACC78531,LSR00002,LST00002,USE21508,CUS33463
LEA92671,2021-10-03,91,ACC10953,LSR00001,LST00002,USE95961,CUS96768
LEA91025,2022-08-23,16,ACC64784,LSR00002,LST00003,USE02936,CUS90027
LEA90732,2020-03-09,12,ACC97287,LSR00006,LST00001,USE67246,CUS65285
LEA83331,2020-03-01,24,ACC41239,LSR00001,LST00003,USE21141,CUS12672
LEA66986,2021-12-29,14,ACC47835,LSR00004,LST00001,USE46703,CUS00516
LEA56713,2022-07-14,92,ACC05667,LSR00004,LST00001,USE97715,CUS15981
LEA99771,2021-07-01,65,ACC47835,LSR00001,LST00002,USE46703,CUS00516
LEA25245,2022-08-09,90,ACC18517,LSR00002,LST00002,USE02355,CUS63544
LEA15984,2020-08-30,75,ACC59577,LSR00003,LST00003,USE90173,CUS23589
LEA07865,2022-04-06,20,ACC35329,LSR00003,LST00003,USE47430,CUS54745
LEA82968,2022-07-20,29,ACC76019,LSR00002,LST00002,USE46703,CUS63344
LEA84193,2021-01-05,49,ACC76019,LSR00006,LST00001,USE46703,CUS63344
LEA70563,2020-02-14,87,ACC52019,LSR00003,LST00001,USE21508,CUS64569
LEA39631,2022-08-07,11,ACC31815,LSR00006,LST00003,USE88869,CUS05913
LEA11087,2022-10-18,73,ACC49445,LSR00005,LST00002,USE02936,CUS64265
LEA51234,2020-05-24,93,ACC52639,LSR00002,LST00001,USE42547,CUS12504
LEA10284,2022-04-21,100,ACC58657,LSR00002,LST00002,USE08695,CUS97228
LEA49507,2022-11-26,99,ACC59319,LSR00002,LST00003,USE02355,CUS79008
LEA59107,2022-05-29,32,ACC05667,LSR00005,LST00002,USE97715,CUS15981
LEA27750,2022-01-07,21,ACC58657,LSR00003,LST00003,USE08695,CUS97228
LEA39788,2022-05-06,63,ACC93619,LSR00006,LST00002,USE23457,CUS37785
LEA12067,2020-02-23,93,ACC75876,LSR00002,LST00002,USE42561,CUS58916
LEA97063,2020-04-16,16,ACC78225,LSR00006,LST00003,USE98230,CUS99364
LEA82744,2020-10-01,48,ACC86305,LSR00006,LST00003,USE97715,CUS34669
LEA40968,2022-12-08,75,ACC04174,LSR00003,LST00003,USE90173,CUS17324
LEA80522,2022-11-12,29,ACC96812,LSR00002,LST00003,USE01758,CUS46575
LEA06111,2022-03-19,62,ACC33565,LSR00005,LST00002,USE95961,CUS51771
LEA22022,2020-02-29,32,ACC93619,LSR00006,LST00003,USE23457,CUS37785
LEA98113,2022-09-21,94,ACC57521,LSR00002,LST00003,USE16130,CUS10424
LEA14818,2022-06-29,71,ACC85106,LSR00005,LST00001,USE70047,CUS35757
LEA92712,2020-05-21,48,ACC32077,LSR00002,LST00003,USE14736,CUS96960
LEA10487,2022-11-20,12,ACC44225,LSR00003,LST00002,USE97715,CUS08983
LEA13574,2021-04-08,55,ACC40496,LSR00003,LST00003,USE35653,CUS16556
LEA18639,2022-06-21,10,ACC14580,LSR00001,LST00001,USE40632,CUS50668
LEA57775,2022-02-25,18,ACC52639,LSR00003,LST00003,USE42547,CUS12504
LEA19202,2022-04-28,68,ACC41695,LSR00001,LST00002,USE51109,CUS72030
LEA62101,2020-07-09,22,ACC18517,LSR00002,LST00001,USE02355,CUS63544
LEA08804,2020-01-04,37,ACC69089,LSR00004,LST00003,USE69267,CUS10645
LEA94238,2021-10-11,96,ACC78531,LSR00006,LST00003,USE21508,CUS33463
LEA52442,2021-12-10,10,ACC38636,LSR00004,LST00003,USE70047,CUS98934
LEA21764,2021-06-29,47,ACC33363,LSR00001,LST00001,USE70047,CUS18172
LEA08253,2022-04-22,34,ACC88502,LSR00006,LST00003,USE24976,CUS44839
LEA06229,2020-03-25,70,ACC68781,LSR00001,LST00002,USE86666,CUS53558
LEA77445,2020-06-02,74,ACC81946,LSR00006,LST00001,USE01758,CUS54838
LEA39373,2020-06-07,20,ACC86083,LSR00006,LST00002,USE02355,CUS03946
LEA50469,2021-08-22,93,ACC74123,LSR00002,LST00003,USE14736,CUS57547
LEA17949,2021-06-24,93,ACC05058,LSR00004,LST00003,USE08695,CUS08763
LEA97947,2020-02-13,97,ACC80858,LSR00005,LST00003,USE64167,CUS91582
LEA20500,2022-03-17,89,ACC70719,LSR00006,LST00003,USE21508,CUS14137
LEA62378,2020-11-22,71,ACC73527,LSR00006,LST00003,USE23457,CUS06230
LEA51272,2022-12-14,46,ACC69321,LSR00002,LST00003,USE08403,CUS38089
LEA06998,2021-12-16,74,ACC86855,LSR00006,LST00003,USE40632,CUS94493
LEA79988,2021-08-07,74,ACC40067,LSR00004,LST00001,USE88869,CUS17408
LEA48010,2021-06-16,52,ACC66674,LSR00004,LST00003,USE47430,CUS98139
LEA11695,2022-02-19,28,ACC73380,LSR00001,LST00001,USE23457,CUS32525
LEA00510,2022-06-13,18,ACC12501,LSR00005,LST00001,USE64167,CUS03149
LEA48853,2020-05-11,19,ACC70578,LSR00001,LST00002,USE14736,CUS13357
LEA20942,2020-03-01,37,ACC99098,LSR00004,LST00002,USE40632,CUS17442
LEA17478,2021-09-24,22,ACC82649,LSR00006,LST00002,USE21141,CUS68550
LEA56597,2020-09-19,24,ACC86305,LSR00005,LST00002,USE97715,CUS34669
LEA20337,2021-02-05,38,ACC10953,LSR00002,LST00002,USE95961,CUS96768
LEA26849,2020-11-07,66,ACC63297,LSR00005,LST00002,USE90173,CUS63040
LEA38085,2020-06-13,15,ACC78225,LSR00006,LST00002,USE98230,CUS99364
LEA75384,2021-01-09,42,ACC47958,LSR00002,LST00001,USE02355,CUS35757
LEA13220,2022-05-18,89,ACC66795,LSR00005,LST00001,USE70047,CUS81235
LEA19325,2020-01-03,80,ACC64625,LSR00004,LST00001,USE90173,CUS30237
LEA81150,2020-04-02,44,ACC47835,LSR00005,LST00001,USE46703,CUS00516
LEA12891,2021-07-04,86,ACC03250,LSR00002,LST00002,USE02936,CUS05622
LEA55701,2021-08-04,70,ACC41646,LSR00005,LST00003,USE40632,CUS70431
LEA09845,2020-01-01,69,ACC20110,LSR00006,LST00003,USE23457,CUS86687
LEA72742,2022-02-20,29,ACC35866,LSR00006,LST00003,USE98230,CUS60208
LEA15023,2020-02-03,27,ACC69565,LSR00005,LST00003,USE27298,CUS44635
LEA14827,2021-01-28,23,ACC69089,LSR00003,LST00001,USE69267,CUS10645
LEA74679,2020-11-25,48,ACC64784,LSR00001,LST00003,USE02936,CUS90027
LEA62496,2021-10-15,88,ACC64625,LSR00002,LST00003,USE90173,CUS30237
LEA81359,2021-05-31,81,ACC32077,LSR00001,LST00002,USE14736,CUS96960
LEA69324,2021-08-20,69,ACC86305,LSR00001,LST00003,USE97715,CUS34669
LEA76601,2020-02-15,83,ACC05667,LSR00002,LST00002,USE97715,CUS15981
LEA93786,2022-09-09,41,ACC75046,LSR00005,LST00003,USE46703,CUS09029
LEA66176,2022-12-13,36,ACC21341,LSR00006,LST00002,USE01758,CUS19685
LEA93857,2022-11-08,91,ACC05931,LSR00002,LST00002,USE70047,CUS72778
LEA20686,2020-09-27,84,ACC30633,LSR00002,LST00003,USE67246,CUS12235
LEA29251,2021-07-27,15,ACC71486,LSR00001,LST00003,USE88869,CUS64566
LEA31647,2020-06-03,33,ACC66674,LSR00001,LST00003,USE47430,CUS98139
LEA71356,2021-09-29,83,ACC69866,LSR00003,LST00002,USE17947,CUS26470
LEA43080,2021-01-05,40,ACC60746,LSR00002,LST00001,USE48045,CUS93798
LEA05589,2021-03-14,100,ACC35873,LSR00006,LST00003,USE47430,CUS18312
LEA83980,2021-05-14,38,ACC05058,LSR00004,LST00002,USE08695,CUS08763
LEA33681,2022-07-31,15,ACC03250,LSR00005,LST00002,USE02936,CUS05622
LEA62627,2022-11-24,41,ACC09224,LSR00006,LST00003,USE67246,CUS53700
LEA82651,2020-04-13,16,ACC12257,LSR00003,LST00001,USE34324,CUS94944
LEA83110,2020-02-20,80,ACC73206,LSR00002,LST00002,USE86666,CUS86443
LEA72827,2022-05-24,66,ACC47096,LSR00002,LST00001,USE02936,CUS19297
LEA39496,2020-01-16,57,ACC16796,LSR00005,LST00001,USE51109,CUS08840
LEA85330,2022-05-12,31,ACC35873,LSR00002,LST00002,USE47430,CUS18312
LEA41027,2021-01-04,48,ACC62831,LSR00003,LST00003,USE16130,CUS00154
LEA35441,2021-03-07,59,ACC35180,LSR00005,LST00003,USE08695,CUS23247
LEA96456,2020-10-25,82,ACC69866,LSR00003,LST00003,USE17947,CUS26470
LEA99846,2020-07-30,58,ACC35045,LSR00001,LST00003,USE47430,CUS23873
LEA82302,2022-07-22,17,ACC35180,LSR00004,LST00001,USE08695,CUS23247
LEA36295,2020-01-04,14,ACC62522,LSR00003,LST00002,USE42547,CUS36078
LEA06602,2022-03-04,56,ACC25776,LSR00002,LST00002,USE08403,CUS50788
LEA04536,2022-08-20,57,ACC76609,LSR00001,LST00001,USE86666,CUS27025
LEA50992,2021-04-11,81,ACC49701,LSR00004,LST00001,USE70047,CUS85444
LEA18264,2022-01-02,95,ACC31815,LSR00005,LST00002,USE88869,CUS05913
LEA65952,2022-05-15,100,ACC53037,LSR00001,LST00001,USE14736,CUS37522
LEA21575,2021-06-12,48,ACC13923,LSR00001,LST00003,USE01758,CUS63466
LEA25046,2022-01-11,18,ACC71969,LSR00005,LST00001,USE69267,CUS78491
LEA04239,2020-10-18,63,ACC97021,LSR00003,LST00002,USE86666,CUS90644
LEA83087,2020-01-13,43,ACC70661,LSR00003,LST00003,USE46703,CUS65513
LEA21573,2021-05-21,68,ACC14357,LSR00002,LST00002,USE90173,CUS50235
LEA38317,2021-01-06,25,ACC57426,LSR00001,LST00001,USE02355,CUS60430
LEA13302,2021-12-08,84,ACC88766,LSR00003,LST00001,USE02355,CUS46509
LEA41262,2021-12-09,40,ACC75046,LSR00006,LST00003,USE46703,CUS09029
LEA70237,2022-08-01,15,ACC57521,LSR00004,LST00001,USE16130,CUS10424
LEA45690,2021-09-05,31,ACC53037,LSR00004,LST00002,USE14736,CUS37522
LEA82481,2022-01-10,53,ACC88766,LSR00002,LST00003,USE02355,CUS46509
LEA10514,2020-05-26,86,ACC71892,LSR00004,LST00002,USE21141,CUS97011
LEA86293,2022-06-09,55,ACC47096,LSR00001,LST00002,USE02936,CUS19297
LEA91903,2021-02-27,67,ACC55427,LSR00006,LST00001,USE40632,CUS78063
LEA58003,2022-02-06,85,ACC40067,LSR00004,LST00001,USE88869,CUS17408
LEA89022,2020-03-14,65,ACC52239,LSR00003,LST00001,USE48045,CUS27396
LEA29597,2022-01-12,49,ACC58923,LSR00005,LST00002,USE17947,CUS98718
LEA51458,2020-03-30,61,ACC12501,LSR00002,LST00003,USE64167,CUS03149
LEA03876,2022-01-29,13,ACC23955,LSR00003,LST00002,USE97715,CUS74473
LEA00060,2021-08-30,35,ACC43580,LSR00005,LST00003,USE14736,CUS91342
LEA27286,2020-09-18,67,ACC48452,LSR00005,LST00003,USE86666,CUS24364
LEA98721,2022-07-04,67,ACC48452,LSR00001,LST00002,USE86666,CUS24364
LEA25893,2022-03-05,63,ACC32077,LSR00004,LST00001,USE14736,CUS96960
LEA19423,2020-07-19,37,ACC80858,LSR00001,LST00001,USE64167,CUS91582
LEA24636,2020-05-24,66,ACC72518,LSR00005,LST00001,USE51109,CUS95125
LEA19749,2022-11-05,26,ACC67875,LSR00004,LST00003,USE95961,CUS90008
LEA64115,2021-07-16,42,ACC05243,LSR00002,LST00003,USE14736,CUS86466
LEA10719,2020-09-17,45,ACC79417,LSR00001,LST00003,USE02355,CUS99539
