order_id,order_date,order_status_id,expected_delivery_date,delivery_date,quote_id,shipping_address_id
ORD63050,2020-12-19,OST00004,2021-01-19,,QUO22778,SCI00001
ORD52371,2023-02-20,OST00003,2023-03-20,,QUO48546,SCI00002
ORD93092,2020-05-08,OST00002,2020-06-08,2020-07-08,QUO40080,SCI00003
ORD56163,2021-10-09,OST00003,2021-11-09,,QUO67150,SCI00004
ORD40878,2022-11-01,OST00003,2022-12-01,,QUO58665,SCI00005
ORD58215,2020-06-09,OST00001,2020-07-09,,QUO59697,SCI00006
ORD27652,2020-09-13,OST00002,2020-10-13,2020-11-13,QUO47287,SCI00007
ORD61408,2022-07-28,OST00001,2022-08-28,,QUO30650,SCI00008
ORD14554,2021-04-28,OST00001,2021-05-28,,QUO42085,SCI00009
ORD04029,2022-03-09,OST00002,2022-04-09,2022-05-09,QUO18076,SCI00010
ORD58717,2020-12-09,OST00002,2021-01-09,2021-02-09,QUO55504,SCI00011
ORD82701,2022-08-15,OST00002,2022-09-15,2022-10-15,QUO97762,SCI00012
ORD18326,2022-11-18,OST00003,2022-12-18,,QUO92354,SCI00013
ORD29029,2020-06-27,OST00002,2020-07-27,2020-08-27,QUO05616,SCI00014
ORD55034,2021-09-19,OST00001,2021-10-19,,QUO74774,SCI00015
ORD56222,2020-04-22,OST00002,2020-05-22,2020-06-22,QUO67020,SCI00016
ORD97052,2021-03-22,OST00003,2021-04-22,,QUO08235,SCI00017
ORD14567,2020-12-19,OST00003,2021-01-19,,QUO89300,SCI00018
ORD18464,2021-04-03,OST00002,2021-05-03,2021-06-03,QUO57320,SCI00019
ORD81822,2022-01-12,OST00001,2022-02-12,,QUO47673,SCI00020
ORD57007,2020-10-09,OST00001,2020-11-09,,QUO03038,SCI00021
ORD82143,2022-06-14,OST00003,2022-07-14,,QUO87409,SCI00022
ORD00255,2022-10-04,OST00002,2022-11-04,2022-12-04,QUO92836,SCI00023
ORD30491,2022-05-07,OST00002,2022-06-07,2022-07-07,QUO80134,SCI00024
ORD48131,2020-12-29,OST00002,2021-01-29,2021-02-28,QUO08944,SCI00025
ORD01975,2022-10-22,OST00002,2022-11-22,2022-12-22,QUO55608,SCI00026
ORD50529,2020-06-09,OST00001,2020-07-09,,QUO03681,SCI00027
ORD41497,2022-06-05,OST00002,2022-07-05,2022-08-05,QUO31724,SCI00028
ORD42817,2021-01-18,OST00001,2021-02-18,,QUO61663,SCI00029
ORD76271,2022-01-06,OST00003,2022-02-06,,QUO89653,SCI00030
ORD19719,2021-04-10,OST00003,2021-05-10,,QUO43517,SCI00031
ORD67572,2022-05-25,OST00002,2022-06-25,2022-07-25,QUO43741,SCI00032
ORD44734,2021-08-19,OST00003,2021-09-19,,QUO68897,SCI00033
ORD95109,2020-06-28,OST00002,2020-07-28,2020-08-28,QUO15967,SCI00034
ORD14949,2021-11-01,OST00002,2021-12-01,2022-01-01,QUO04879,SCI00035
ORD16794,2020-12-19,OST00001,2021-01-19,,QUO39620,SCI00036
ORD23398,2021-03-28,OST00003,2021-04-28,,QUO57822,SCI00037
ORD27326,2021-04-05,OST00003,2021-05-05,,QUO60496,SCI00038
ORD95225,2021-10-12,OST00003,2021-11-12,,QUO92644,SCI00039
ORD67468,2020-04-02,OST00003,2020-05-02,,QUO17980,SCI00040
ORD99505,2022-02-03,OST00003,2022-03-03,,QUO41481,SCI00041
ORD38111,2022-05-10,OST00001,2022-06-10,,QUO18770,SCI00042
ORD24939,2021-09-24,OST00001,2021-10-24,,QUO34143,SCI00043
ORD79040,2021-10-24,OST00003,2021-11-24,,QUO51678,SCI00044
ORD24561,2022-08-02,OST00001,2022-09-02,,QUO80342,SCI00045
ORD43171,2021-11-07,OST00002,2021-12-07,2022-01-07,QUO66540,SCI00046
ORD98249,2022-08-14,OST00001,2022-09-14,,QUO63490,SCI00047
ORD35306,2023-01-30,OST00002,2023-02-28,2023-03-30,QUO58331,SCI00048
ORD91886,2021-05-09,OST00002,2021-06-09,2021-07-09,QUO15978,SCI00049
ORD68132,2020-05-09,OST00003,2020-06-09,,QUO39411,SCI00050
ORD13388,2023-02-25,OST00002,2023-03-25,2023-04-25,QUO75436,SCI00051
ORD40431,2020-10-30,OST00001,2020-11-30,,QUO82061,SCI00052
ORD74853,2022-08-17,OST00001,2022-09-17,,QUO45345,SCI00053
ORD61445,2020-04-13,OST00002,2020-05-13,2020-06-13,QUO28321,SCI00054
ORD54925,2020-05-10,OST00002,2020-06-10,2020-07-10,QUO11502,SCI00055
ORD65648,2020-05-16,OST00002,2020-06-16,2020-07-16,QUO62422,SCI00056
ORD02459,2023-02-24,OST00003,2023-03-24,,QUO19729,SCI00057
ORD28869,2020-08-21,OST00003,2020-09-21,,QUO23048,SCI00058
ORD09198,2021-04-28,OST00003,2021-05-28,,QUO03610,SCI00059
ORD59328,2020-12-09,OST00002,2021-01-09,2021-02-09,QUO54674,SCI00060
ORD10422,2023-02-20,OST00002,2023-03-20,2023-04-20,QUO61943,SCI00061
ORD88099,2020-08-09,OST00001,2020-09-09,,QUO86093,SCI00062
ORD40388,2023-02-25,OST00001,2023-03-25,,QUO24253,SCI00063
ORD02052,2022-05-19,OST00002,2022-06-19,2022-07-19,QUO48682,SCI00064
ORD29241,2020-07-16,OST00002,2020-08-16,2020-09-16,QUO24334,SCI00065
ORD72139,2022-08-02,OST00002,2022-09-02,2022-10-02,QUO60220,SCI00066
ORD06286,2022-11-04,OST00002,2022-12-04,2023-01-04,QUO80090,SCI00067
