product_id,vehicle_type_id,base_price,inventory_level,fuel_type_id,weight_capacity,dimensions,product_name,model_year
PRO41627,VHT00003,6332,34,FUL00001,5487,7x3x5,Model C,2024
PRO64497,VHT00001,7892,3,FUL00002,11478,12x6x2,Model A,2006
PRO56174,VHT00003,9231,3,FUL00001,7878,9x5x4,Model A,2000
PRO64122,VHT00002,4502,0,FUL00001,10060,10x5x3,Model D,2009
PRO99910,VHT00002,7851,21,FUL00001,10483,9x5x4,Model D,2005
PRO67495,VHT00002,9591,13,FUL00002,11937,7x3x5,Model B,2010
PRO79367,VHT00003,7500,46,FUL00002,5474,7x3x5,Model B,2015
PRO63981,VHT00002,6130,27,FUL00002,7758,7x3x5,Model C,2018
PRO12639,VHT00001,8917,16,FUL00002,3254,10x5x3,Model C,2011
PRO86898,VHT00002,9816,38,FUL00002,5616,8x4x6,Model C,2024
PRO77206,VHT00003,7670,32,FUL00001,9886,8x4x6,Model E,2018
PRO93334,VHT00002,6267,16,FUL00001,6595,7x3x5,Model D,2002
PRO64828,VHT00001,8684,3,FUL00001,7015,8x4x6,Model C,2008
PRO21215,VHT00003,4332,48,FUL00001,8091,8x4x6,Model D,2013
PRO67890,VHT00002,4880,31,FUL00001,3286,8x4x6,Model A,2019
PRO57903,VHT00002,6074,11,FUL00001,7243,10x5x3,Model A,2016
PRO70558,VHT00002,7843,15,FUL00001,5842,8x4x6,Model B,2016
PRO51725,VHT00002,8828,50,FUL00002,3584,10x5x3,Model E,2000
PRO86754,VHT00003,9327,21,FUL00002,8986,7x3x5,Model E,2008
PRO41240,VHT00003,9402,31,FUL00002,10807,7x3x5,Model E,2023
PRO30045,VHT00001,3060,9,FUL00001,9414,9x5x4,Model B,2004
PRO81999,VHT00002,3518,49,FUL00002,11170,8x4x6,Model A,2021
PRO61136,VHT00001,5239,49,FUL00002,8542,8x4x6,Model D,2023
PRO98085,VHT00003,9212,26,FUL00002,9532,9x5x4,Model E,2008
PRO29563,VHT00001,4923,35,FUL00002,4334,12x6x2,Model E,2011
PRO14992,VHT00003,5682,43,FUL00001,11779,10x5x3,Model D,2008
PRO83380,VHT00002,6138,9,FUL00002,7371,7x3x5,Model D,2014
PRO65552,VHT00002,5999,3,FUL00001,7548,7x3x5,Model D,2007
PRO45787,VHT00002,9518,16,FUL00002,8495,10x5x3,Model B,2024
PRO14701,VHT00003,6030,13,FUL00001,8915,8x4x6,Model D,2004
PRO46773,VHT00001,9613,25,FUL00002,11077,9x5x4,Model D,2022
PRO71161,VHT00003,4550,26,FUL00002,11798,12x6x2,Model D,2006
PRO44499,VHT00001,9613,0,FUL00002,8882,8x4x6,Model C,2005
PRO39806,VHT00001,7529,38,FUL00001,9249,7x3x5,Model D,2004
PRO97881,VHT00001,6562,15,FUL00002,10092,10x5x3,Model E,2022
PRO95982,VHT00002,8584,14,FUL00002,4299,9x5x4,Model D,2005
PRO19301,VHT00001,5943,25,FUL00001,5421,9x5x4,Model E,2005
PRO92316,VHT00002,8114,47,FUL00001,9096,7x3x5,Model E,2023
PRO74373,VHT00003,7854,8,FUL00002,7073,9x5x4,Model B,2011
PRO01485,VHT00002,8534,43,FUL00002,10321,8x4x6,Model B,2018
PRO51045,VHT00003,8664,18,FUL00002,4919,9x5x4,Model B,2013
PRO04233,VHT00002,5775,21,FUL00002,4104,9x5x4,Model B,2003
PRO75076,VHT00001,8325,17,FUL00001,5727,10x5x3,Model C,2016
PRO07576,VHT00002,3571,20,FUL00001,7848,9x5x4,Model B,2006
PRO13996,VHT00001,9851,10,FUL00002,9917,12x6x2,Model C,2023
PRO40808,VHT00001,6574,3,FUL00001,9480,7x3x5,Model A,2010
PRO10732,VHT00003,9315,45,FUL00001,7101,10x5x3,Model B,2007
PRO09500,VHT00002,6194,50,FUL00002,7907,7x3x5,Model D,2006
PRO03838,VHT00003,8952,7,FUL00002,5277,9x5x4,Model E,2010
PRO26667,VHT00002,3888,31,FUL00002,4377,12x6x2,Model D,2004
