quote_id,expiration_date,discount,total_amount,created_date,revision_number,opportunity_id,quote_status_id
QUO22778,,24,181737,2020-10-19,2,OPP72164,QST00003
QUO48546,,7,129360,2022-12-20,3,OPP71452,QST00001
QUO40080,2020-04-08,4,101609,2020-03-08,2,OPP67300,QST00003
QUO67150,2021-09-09,24,96792,2021-08-09,3,OPP66037,QST00002
QUO58665,,2,119796,2022-09-01,3,OPP16752,QST00002
QUO59697,,13,135828,2020-04-09,1,OPP93457,QST00003
QUO47287,2020-08-13,19,208738,2020-07-13,1,OPP19278,QST00002
QUO30650,,5,204054,2022-05-28,3,OPP44014,QST00001
QUO42085,2021-03-28,10,180942,2021-02-28,2,OPP29842,QST00002
QUO18076,,12,199332,2022-01-09,2,OPP63877,QST00001
QUO97762,,10,191174,2022-06-15,1,OPP86999,QST00002
QUO92354,2022-10-18,10,102941,2022-09-18,1,OPP32011,QST00002
QUO05616,2020-05-27,5,176048,2020-04-27,1,OPP37758,QST00002
QUO74774,2021-08-19,5,87152,2021-07-19,1,OPP76123,QST00003
QUO67020,,11,130114,2020-02-22,1,OPP21761,QST00001
QUO08235,2021-02-22,11,155757,2021-01-22,1,OPP50532,QST00003
QUO89300,,12,113130,2020-10-19,2,OPP72164,QST00002
QUO57320,,19,95853,2021-02-03,3,OPP53257,QST00001
QUO47673,,25,61113,2021-11-12,1,OPP94608,QST00003
QUO03038,2020-09-09,21,174400,2020-08-09,2,OPP54557,QST00002
QUO87409,2022-05-14,5,89978,2022-04-14,2,OPP08130,QST00003
QUO92836,,16,134066,2022-08-04,1,OPP79670,QST00001
QUO80134,,7,96132,2022-03-07,2,OPP34242,QST00001
QUO08944,2020-11-29,2,272188,2020-10-29,3,OPP95121,QST00003
QUO55608,2022-09-22,6,42320,2022-08-22,3,OPP72183,QST00003
QUO03681,2020-05-09,21,236368,2020-04-09,2,OPP82556,QST00002
QUO31724,,24,262565,2022-04-05,3,OPP14653,QST00003
QUO61663,,18,161840,2020-11-18,3,OPP71115,QST00001
QUO89653,2021-12-06,8,114710,2021-11-06,1,OPP40628,QST00003
QUO43517,2021-03-10,3,93559,2021-02-10,2,OPP83158,QST00002
QUO43741,2022-04-25,3,109966,2022-03-25,1,OPP86247,QST00002
QUO68897,,6,122287,2021-06-19,2,OPP44858,QST00003
QUO15967,,23,110164,2020-04-28,3,OPP41043,QST00002
QUO04879,2021-10-01,15,86622,2021-09-01,3,OPP91824,QST00002
QUO39620,,6,32184,2020-10-19,3,OPP72164,QST00002
QUO57822,2021-02-28,13,110676,2021-01-28,2,OPP56105,QST00002
QUO60496,,22,102334,2021-02-05,2,OPP12619,QST00001
QUO92644,,6,91334,2021-08-12,2,OPP22057,QST00001
QUO17980,2020-03-02,13,121576,2020-02-02,2,OPP37355,QST00003
QUO41481,2022-01-03,22,181924,2021-12-03,3,OPP11028,QST00002
QUO18770,2022-04-10,7,104223,2022-03-10,2,OPP58384,QST00003
QUO34143,2021-08-24,24,194193,2021-07-24,1,OPP07950,QST00003
QUO51678,2021-09-24,21,261652,2021-08-24,2,OPP84587,QST00003
QUO80342,2022-07-02,22,113982,2022-06-02,1,OPP19669,QST00003
QUO66540,2021-10-07,18,111246,2021-09-07,3,OPP07225,QST00002
QUO63490,,25,163058,2022-06-14,2,OPP95171,QST00003
QUO58331,2022-12-30,9,307616,2022-11-30,1,OPP61530,QST00003
QUO15978,2021-04-09,25,40230,2021-03-09,1,OPP76039,QST00003
QUO39411,2020-04-09,23,268012,2020-03-09,1,OPP58736,QST00002
QUO75436,,5,246384,2022-12-25,1,OPP89700,QST00003
QUO82061,,4,76710,2020-08-30,3,OPP20375,QST00001
QUO45345,,8,155712,2022-06-17,2,OPP98191,QST00001
QUO28321,2020-03-13,23,60299,2020-02-13,3,OPP76415,QST00001
QUO11502,2020-04-10,17,283597,2020-03-10,1,OPP67772,QST00001
QUO62422,2020-04-16,18,122727,2020-03-16,3,OPP33921,QST00003
QUO19729,,11,217146,2022-12-24,3,OPP97109,QST00002
QUO23048,,10,244878,2020-06-21,1,OPP04972,QST00002
QUO03610,2021-03-28,10,153714,2021-02-28,2,OPP29842,QST00002
QUO54674,,16,128064,2020-10-09,2,OPP70176,QST00002
QUO61943,,25,144624,2022-12-20,1,OPP54142,QST00001
QUO86093,,22,144912,2020-06-09,2,OPP95853,QST00003
QUO24253,,11,81816,2022-12-25,1,OPP89700,QST00003
QUO48682,2022-04-19,4,153853,2022-03-19,3,OPP74333,QST00003
QUO24334,2020-06-16,2,312509,2020-05-16,1,OPP99253,QST00002
QUO60220,2022-07-02,1,160832,2022-06-02,3,OPP19669,QST00003
QUO80090,,15,171562,2022-09-04,2,OPP23268,QST00001
QUO47560,,8,35397,2022-08-02,2,OPP03839,QST00003
QUO33042,2022-04-06,12,68364,2022-03-06,2,OPP04783,QST00001
QUO53874,2020-04-23,25,120507,2020-03-23,1,OPP06056,QST00003
QUO71481,,16,84040,2020-07-12,3,OPP54263,QST00003
QUO45880,,21,127376,2021-06-03,3,OPP24133,QST00001
QUO84316,2020-06-27,13,166467,2020-05-27,1,OPP85762,QST00002
QUO54735,,9,155160,2021-02-05,1,OPP12619,QST00003
QUO85063,,22,183668,2022-01-03,1,OPP50696,QST00003
QUO80975,2021-09-26,1,97551,2021-08-26,2,OPP90628,QST00001
QUO83441,,16,65346,2022-12-15,3,OPP13364,QST00003
QUO23594,,19,130272,2022-03-07,1,OPP34242,QST00003
QUO06699,,19,152901,2021-07-12,1,OPP35409,QST00003
QUO89682,,19,219870,2021-06-22,1,OPP51386,QST00003
QUO07876,,18,123719,2022-01-02,3,OPP25069,QST00002
QUO00872,,24,87134,2021-03-19,2,OPP32439,QST00002
QUO95290,2020-11-18,25,136747,2020-10-18,2,OPP47719,QST00001
QUO58473,2020-08-01,2,148872,2020-07-01,2,OPP12627,QST00003
QUO90443,2022-05-21,11,95847,2022-04-21,2,OPP85126,QST00003
QUO41215,,18,225995,2022-04-22,1,OPP52556,QST00003
QUO34390,,16,86350,2022-03-24,3,OPP91886,QST00001
QUO47415,,14,63054,2020-10-12,3,OPP45580,QST00002
QUO61769,2020-09-15,7,247140,2020-08-15,1,OPP98021,QST00003
QUO48309,,8,175760,2020-07-29,3,OPP40832,QST00003
QUO06507,2022-04-10,14,117278,2022-03-10,1,OPP58384,QST00001
QUO68861,,11,233913,2021-11-11,2,OPP93630,QST00003
QUO93208,,6,168720,2020-09-23,1,OPP44319,QST00003
QUO22161,2023-01-05,6,226890,2022-12-05,3,OPP08770,QST00003
QUO92368,,7,12202,2020-10-12,1,OPP45580,QST00003
QUO09188,,10,166914,2020-12-24,3,OPP92414,QST00001
QUO65534,,24,155480,2021-10-25,1,OPP97495,QST00003
QUO97414,,14,104043,2020-08-23,3,OPP73239,QST00001
QUO37517,,13,116241,2020-08-09,3,OPP23451,QST00002
QUO64683,,12,122226,2022-06-14,2,OPP95171,QST00003
QUO58594,2022-02-27,10,67964,2022-01-27,3,OPP09204,QST00002
QUO29813,2021-01-03,19,58562,2020-12-03,1,OPP81541,QST00001
QUO96448,2021-07-29,11,219856,2021-06-29,1,OPP13035,QST00003
QUO64833,,25,52042,2021-12-20,3,OPP93303,QST00003
QUO83854,,2,90055,2020-04-30,1,OPP36674,QST00002
QUO39792,,23,62794,2020-12-27,1,OPP46090,QST00003
QUO95608,2022-12-30,21,183654,2022-11-30,2,OPP61530,QST00002
QUO61688,,8,136438,2021-10-29,2,OPP73531,QST00002
QUO79339,,16,173385,2021-10-14,3,OPP32455,QST00003
QUO39267,,2,180166,2020-02-03,3,OPP46060,QST00002
QUO21812,,16,138394,2021-06-26,2,OPP05944,QST00003
QUO73792,,11,207666,2022-06-15,3,OPP65722,QST00002
QUO65805,2021-11-24,6,149668,2021-10-24,1,OPP51977,QST00001
QUO61998,2022-06-13,19,172326,2022-05-13,1,OPP44074,QST00001
QUO61508,,5,166674,2022-01-02,3,OPP25069,QST00003
QUO94090,,12,132880,2022-06-10,2,OPP25558,QST00002
QUO81828,,17,220929,2020-11-18,1,OPP71115,QST00003
QUO00814,,4,319712,2021-11-12,3,OPP94608,QST00001
QUO65076,,22,78148,2022-09-26,1,OPP61662,QST00003
QUO66439,,13,88914,2022-09-01,1,OPP16752,QST00003
QUO63305,,2,70273,2020-03-16,2,OPP80931,QST00003
QUO55504,,15,134176,2023-01-14,1,OPP20624,QST00003
QUO11888,,9,157082,2020-08-06,2,OPP53050,QST00003
QUO03999,,13,309937,2022-12-25,3,OPP89700,QST00002
QUO43053,2021-01-17,22,92403,2020-12-17,2,OPP32495,QST00003
QUO35296,,20,215680,2020-06-07,1,OPP26128,QST00003
QUO17527,2020-06-16,25,143554,2020-05-16,1,OPP11804,QST00003
QUO87959,2022-10-20,3,173156,2022-09-20,3,OPP59199,QST00003
QUO42881,2020-03-13,15,178396,2020-02-13,2,OPP76415,QST00001
QUO91116,2022-09-22,24,232286,2022-08-22,1,OPP72183,QST00001
QUO81725,2020-08-03,11,130956,2020-07-03,3,OPP73545,QST00002
QUO16181,,3,66328,2020-12-02,3,OPP29497,QST00002
QUO58597,2020-04-18,13,233909,2020-03-18,1,OPP73977,QST00003
QUO46585,2021-07-22,17,163716,2021-06-22,3,OPP13646,QST00002
QUO04863,2022-08-29,2,199332,2022-07-29,1,OPP03731,QST00003
