invoice_id,payment_status_id,payment_method_id,invoice_date,due_date,payment_date,total_amount,late_fees,discount_applied,final_amount,order_id
INV41963,PST00001,PME00001,2021-01-19,2021-02-19,2021-02-03,181737,0,63,181800,ORD63050
INV10309,PST00002,PME00002,2023-03-20,2023-04-20,2023-05-04,129360,4385,53,133808,ORD52371
INV41524,PST00003,PME00003,2020-06-08,2020-07-08,2020-06-23,101609,0,15,101662,ORD93092
INV99382,PST00004,PME00004,2021-11-09,2021-12-09,2021-11-24,96792,0,47,96807,ORD56163
INV71328,PST00005,PME00005,2022-12-01,2023-01-01,2022-12-16,119796,0,37,119843,ORD40878
INV49388,PST00006,PME00006,2020-07-09,2020-08-09,2020-07-24,135828,0,34,135865,ORD58215
INV49934,PST00007,PME00007,2020-10-13,2020-11-13,2020-10-28,208738,0,62,208772,ORD27652
INV24614,PST00008,PME00008,2022-08-28,2022-09-28,2022-09-12,204054,0,15,204116,ORD61408
INV46909,PST00009,PME00009,2021-05-28,2021-06-28,2021-06-12,180942,0,5,180957,ORD14554
INV75148,PST00010,PME00010,2022-04-09,2022-05-09,2022-05-24,199332,8370,74,207707,ORD04029
INV97866,PST00011,PME00011,2021-01-09,2021-02-09,2021-02-23,134176,7626,63,141876,ORD58717
INV89928,PST00012,PME00012,2022-09-15,2022-10-15,2022-09-30,191174,0,26,191237,ORD82701
INV11395,PST00013,PME00013,2022-12-18,2023-01-18,2023-01-02,102941,0,21,102967,ORD18326
INV66832,PST00014,PME00014,2020-07-27,2020-08-27,2020-08-11,176048,0,55,176069,ORD29029
INV64498,PST00015,PME00015,2021-10-19,2021-11-19,2021-11-03,87152,0,69,87207,ORD55034
INV16878,PST00016,PME00016,2020-05-22,2020-06-22,2020-06-06,130114,0,53,130183,ORD56222
INV05462,PST00017,PME00017,2021-04-22,2021-05-22,2021-05-07,155757,0,69,155810,ORD97052
INV72056,PST00018,PME00018,2021-01-19,2021-02-19,2021-03-05,113130,1118,52,114317,ORD14567
INV76626,PST00019,PME00019,2021-05-03,2021-06-03,2021-05-18,95853,0,13,95905,ORD18464
INV04099,PST00020,PME00020,2022-02-12,2022-03-12,2022-02-27,61113,0,74,61126,ORD81822
INV54064,PST00021,PME00021,2020-11-09,2020-12-09,2020-11-24,174400,0,56,174474,ORD57007
INV09722,PST00022,PME00022,2022-07-14,2022-08-14,2022-08-28,89978,7554,57,97588,ORD82143
INV45219,PST00023,PME00023,2022-11-04,2022-12-04,2022-11-19,134066,0,78,134123,ORD00255
INV75721,PST00024,PME00024,2022-06-07,2022-07-07,2022-07-22,96132,1274,17,97484,ORD30491
INV60401,PST00025,PME00025,2021-01-29,2021-02-28,2021-02-13,272188,0,4,272205,ORD48131
INV69515,PST00026,PME00026,2022-11-22,2022-12-22,2023-01-06,42320,2406,80,44730,ORD01975
INV79320,PST00027,PME00027,2020-07-09,2020-08-09,2020-07-24,236368,0,20,236448,ORD50529
INV39470,PST00028,PME00028,2022-07-05,2022-08-05,2022-07-20,262565,0,38,262585,ORD41497
INV95763,PST00029,PME00029,2021-02-18,2021-03-18,2021-03-05,161840,0,27,161878,ORD42817
INV27559,PST00030,PME00030,2022-02-06,2022-03-06,2022-02-21,114710,0,39,114737,ORD76271
INV97257,PST00031,PME00031,2021-05-10,2021-06-10,2021-06-24,93559,9357,71,102955,ORD19719
INV93585,PST00032,PME00032,2022-06-25,2022-07-25,2022-08-09,109966,1751,7,111788,ORD67572
INV59342,PST00033,PME00033,2021-09-19,2021-10-19,2021-11-03,122287,3472,5,125766,ORD44734
INV04582,PST00034,PME00034,2020-07-28,2020-08-28,2020-08-12,110164,0,77,110169,ORD95109
INV80466,PST00035,PME00035,2021-12-01,2022-01-01,2022-01-15,86622,3909,24,90608,ORD14949
INV15459,PST00036,PME00036,2021-01-19,2021-02-19,2021-03-05,32184,2859,71,35067,ORD16794
INV94776,PST00037,PME00037,2021-04-28,2021-05-28,2021-05-13,110676,0,65,110747,ORD23398
INV46863,PST00038,PME00038,2021-05-05,2021-06-05,2021-05-20,102334,0,21,102399,ORD27326
INV59601,PST00039,PME00039,2021-11-12,2021-12-12,2021-11-27,91334,0,74,91355,ORD95225
INV45528,PST00040,PME00040,2020-05-02,2020-06-02,2020-05-17,121576,0,21,121650,ORD67468
INV37154,PST00041,PME00041,2022-03-03,2022-04-03,2022-03-18,181924,0,28,181945,ORD99505
INV45604,PST00042,PME00042,2022-06-10,2022-07-10,2022-06-25,104223,0,7,104251,ORD38111
INV76700,PST00043,PME00043,2021-10-24,2021-11-24,2021-11-08,194193,0,43,194200,ORD24939
INV74125,PST00044,PME00044,2021-11-24,2021-12-24,2021-12-09,261652,0,48,261695,ORD79040
INV62453,PST00045,PME00045,2022-09-02,2022-10-02,2022-09-17,113982,0,63,114030,ORD24561
INV80842,PST00046,PME00046,2021-12-07,2022-01-07,2022-01-21,111246,1237,3,112546,ORD43171
INV14740,PST00047,PME00047,2022-09-14,2022-10-14,2022-09-29,163058,0,39,163061,ORD98249
INV30128,PST00048,PME00048,2023-02-28,2023-03-28,2023-03-15,307616,0,73,307655,ORD35306
INV16285,PST00049,PME00049,2021-06-09,2021-07-09,2021-06-24,40230,0,35,40303,ORD91886
