account_id,account_name,account_email_address,account_mobile_number,billing_address_id,user_id,account_status,annual_revenue,industry_id
ACC50214,Zenith Motors,zenith.motors@gmail.com,5472480129,BLI00001,USE17947,0,6205193,IND00001
ACC13138,Imperium Automobiles,imperium.automobiles@gmail.com,254902976,BLI00002,USE24976,1,4039624,IND00002
ACC75287,Aurelia Autohaus,aurelia.autohaus@gmail.com,8208478676,BLI00003,USE90173,1,2758663,IND00003
ACC01063,Celestia Cars,celestia.cars@gmail.com,2911255710,BLI00004,USE02936,0,2447077,IND00004
ACC69321,Regalia Automotive,regalia.automotive@gmail.com,3253206445,BLI00005,USE08403,1,4635928,IND00005
ACC70578,Opulent Drive,opulent.drive@gmail.com,7048989423,BLI00006,USE14736,1,6342814,IND00006
ACC78225,Monarch Motors,monarch.motors@gmail.com,9937571472,BLI00007,USE98230,1,6473806,IND00007
ACC69565,Valtorian Vehicles,valtorian.vehicles@gmail.com,1447758952,BLI00008,USE27298,0,5726728,IND00008
ACC57254,Excalibur Engineering,excalibur.engineering@gmail.com,1419593660,BLI00009,USE02936,0,5896623,IND00009
ACC55990,Noblesse Auto,noblesse.auto@gmail.com,8533280916,BLI00010,USE48045,0,9036830,IND00010
ACC30633,Velocity Motors,velocity.motors@gmail.com,1809006715,BLI00011,USE67246,1,2123257,IND00011
ACC61461,Apex Racing,apex.racing@gmail.com,617105205,BLI00012,USE98230,0,7586994,IND00012
ACC82127,Titan Speedworks,titan.speedworks@gmail.com,8436826291,BLI00013,USE21141,0,6839244,IND00013
ACC14580,Invictus Performance,invictus.performance@gmail.com,2811792609,BLI00014,USE40632,1,4709536,IND00014
ACC75234,Thunderstrike Cars,thunderstrike.cars@gmail.com,7162379240,BLI00015,USE64167,1,553477,IND00015
ACC32077,Phoenix Hypercars,phoenix.hypercars@gmail.com,5807082057,BLI00016,USE14736,0,1524082,IND00016
ACC80858,Valkyrie Automotive,valkyrie.automotive@gmail.com,2194951916,BLI00017,USE64167,1,6110386,IND00017
ACC39192,Stratos Motors,stratos.motors@gmail.com,2125031181,BLI00018,USE02355,0,5433399,IND00018
ACC49701,Orion GT,orion.gt@gmail.com,5311742406,BLI00019,USE70047,1,4828806,IND00019
ACC33506,Seraph Supercars,seraph.supercars@gmail.com,4267422435,BLI00020,USE90173,1,6697151,IND00020
ACC05984,Evolve Electric,evolve.electric@gmail.com,2885236779,BLI00021,USE01758,1,2826321,IND00021
ACC78530,NovaVolt Motors,novavolt.motors@gmail.com,9668284606,BLI00022,USE46703,0,2908764,IND00022
ACC57426,GreenMotion Automotive,greenmotion.automotive@gmail.com,532802597,BLI00023,USE02355,0,8845550,IND00023
ACC10953,Solara EV,solara.ev@gmail.com,8044861363,BLI00024,USE95961,1,3919242,IND00024
ACC90584,TerraDrive,terradrive@gmail.com,633067390,BLI00025,USE01758,0,8767428,IND00025
ACC57460,Zenith Zero,zenith.zero@gmail.com,9870486105,BLI00026,USE83708,0,8107112,IND00026
ACC96912,EcoSpark Autos,ecospark.autos@gmail.com,969629047,BLI00027,USE21141,1,4273114,IND00027
ACC25776,Arcadia Electric,arcadia.electric@gmail.com,9874505296,BLI00028,USE08403,0,5363051,IND00028
ACC97021,Lumina EV,lumina.ev@gmail.com,6110447041,BLI00029,USE86666,0,5627384,IND00029
ACC76583,Helio Motors,helio.motors@gmail.com,1653758341,BLI00030,USE02936,1,3304012,IND00030
ACC13923,Boulder Motors,boulder.motors@gmail.com,6634813904,BLI00031,USE01758,1,6117160,IND00031
ACC90021,TerraX Automotive,terrax.automotive@gmail.com,3996051674,BLI00032,USE90173,0,4150543,IND00032
ACC35796,Rhino Off-Road,rhino.off-road@gmail.com,8247383263,BLI00033,USE02355,0,1025449,IND00033
ACC99098,Mammoth Vehicles,mammoth.vehicles@gmail.com,3018534974,BLI00034,USE40632,1,5146860,IND00034
ACC86305,Trailblazer Trucks,trailblazer.trucks@gmail.com,1345680177,BLI00035,USE97715,1,7659366,IND00035
ACC76609,Grizzly Motors,grizzly.motors@gmail.com,7833810308,BLI00036,USE86666,1,8584420,IND00036
ACC00640,Outlander Auto,outlander.auto@gmail.com,9880593925,BLI00037,USE23457,1,8652411,IND00037
ACC12501,Summit Cruisers,summit.cruisers@gmail.com,8949659552,BLI00038,USE64167,1,6643245,IND00038
ACC05667,Alpine Machines,alpine.machines@gmail.com,4691627160,BLI00039,USE97715,0,8531885,IND00039
ACC43187,Tundra Trek,tundra.trek@gmail.com,1127554717,BLI00040,USE51109,0,6676224,IND00040
ACC35045,Titan Haulers,titan.haulers@gmail.com,4765908024,BLI00041,USE47430,1,8134665,IND00041
ACC51395,Industrium Auto,industrium.auto@gmail.com,8899641330,BLI00042,USE08695,1,6228682,IND00042
ACC99342,PowerHaul Motors,powerhaul.motors@gmail.com,3110036195,BLI00043,USE35653,0,7909571,IND00043
ACC48875,Omega Workhorses,omega.workhorses@gmail.com,6812371886,BLI00044,USE64167,0,8913962,IND00044
ACC24456,Magnum Transit,magnum.transit@gmail.com,1728775875,BLI00045,USE83708,0,734820,IND00045
ACC32528,WorkMate Vehicles,workmate.vehicles@gmail.com,6830287876,BLI00046,USE23457,1,5665693,IND00046
ACC48452,IronClad Trucks,ironclad.trucks@gmail.com,5896941903,BLI00047,USE86666,0,9668820,IND00047
ACC83856,Vortex Vans,vortex.vans@gmail.com,1354259674,BLI00048,USE42547,1,7788109,IND00048
ACC52239,HaulStar Motors,haulstar.motors@gmail.com,1654263305,BLI00049,USE48045,1,6894057,IND00049
ACC00666,CargoPro Automotive,cargopro.automotive@gmail.com,137069139,BLI00050,USE40632,1,1848490,IND00050
ACC17352,Windsor Motors,windsor.motors@gmail.com,9341974946,BLI00051,USE21508,0,6234810,IND00051
ACC62522,Britannia Cars,britannia.cars@gmail.com,1269465990,BLI00052,USE42547,0,2760471,IND00052
ACC69519,Roosevelt Roadsters,roosevelt.roadsters@gmail.com,2139558665,BLI00053,USE27298,0,7935323,IND00053
ACC86855,Sovereign Classics,sovereign.classics@gmail.com,5878288068,BLI00054,USE40632,1,6305601,IND00054
ACC71892,Imperial Vintage Motors,imperial.vintage.motors@gmail.com,2351715223,BLI00055,USE21141,0,8146453,IND00055
