opportunity_id,close_date ,expected_close_date,opportunity_amount,lost_reason_id,stage_id,product_id,user_id,lead_id,customer_id
OPP92580,Na,2020-12-21,80568,LOS00001,STA00001,PRO98085,USE70047,LEA65783,CUS35757
OPP80739,2021-05-19,2021-04-19,902235,LOS00002,STA00002,PRO19301,USE42561,LEA42062,CUS50908
OPP10274,Na,2022-12-13,410741,LOS00003,STA00003,PRO40808,USE01758,LEA78448,CUS19685
OPP85884,2022-02-26,2022-01-26,924785,LOS00004,STA00004,PRO95982,USE90173,LEA96201,CUS27996
OPP44215,2022-04-14,2022-03-14,935827,LOS00005,STA00005,PRO30045,USE40632,LEA01635,CUS17442
OPP70562,Na,2021-06-07,302256,LOS00006,STA00006,PRO01485,USE90173,LEA24802,CUS23589
OPP60735,2020-10-14,2020-09-14,186146,LOS00007,STA00007,PRO51725,USE17947,LEA69324,CUS33322
OPP23268,2022-12-04,2022-11-04,565209,LOS00008,STA00008,PRO46773,USE01758,LEA27258,CUS55465
OPP81404,2021-02-22,2021-01-22,527040,LOS00009,STA00009,PRO74373,USE16130,LEA78187,CUS00154
OPP38638,2023-04-15,2023-03-15,196892,LOS00010,STA00010,PRO86898,USE95961,LEA40819,CUS96768
OPP06306,Na,2022-03-26,683457,LOS00011,STA00011,PRO19301,USE08695,LEA59360,CUS23247
OPP66587,2022-12-26,2022-11-26,967948,LOS00012,STA00012,PRO04233,USE08695,LEA12713,CUS08763
OPP61295,2022-11-16,2022-10-16,893428,LOS00013,STA00013,PRO13996,USE97715,LEA50692,CUS15981
OPP55628,2022-11-16,2022-10-16,687683,LOS00014,STA00014,PRO56174,USE21141,LEA43998,CUS12672
OPP37355,Na,2020-04-02,452898,LOS00015,STA00015,PRO46773,USE24976,LEA59089,CUS15130
OPP65722,2022-09-15,2022-08-15,144355,LOS00016,STA00016,PRO04233,USE51109,LEA85790,CUS08840
OPP28164,Na,2021-02-23,664645,LOS00017,STA00017,PRO67890,USE02355,LEA32502,CUS26176
OPP65696,2022-05-18,2022-04-18,465818,LOS00018,STA00018,PRO67495,USE14736,LEA20471,CUS13357
OPP35506,2021-08-30,2021-07-30,568721,LOS00019,STA00019,PRO04233,USE51109,LEA37192,CUS26577
OPP56105,Na,2021-03-28,867152,LOS00020,STA00020,PRO77206,USE02355,LEA33652,CUS79008
