payment_method_id,payment_method
PME00001,Account payee checks
PME00002,Account payee checks
PME00003,Bearer checks
PME00004,Order checks
PME00005,Account payee checks
PME00006,Bearer checks
PME00007,Order checks
PME00008,Bearer checks
PME00009,Bearer checks
PME00010,Account payee checks
PME00011,Account payee checks
PME00012,Account payee checks
PME00013,Counter checks
PME00014,Bearer checks
PME00015,Account payee checks
PME00016,Counter checks
PME00017,Bearer checks
PME00018,Counter checks
PME00019,Bearer checks
PME00020,Account payee checks
PME00021,Counter checks
PME00022,Account payee checks
PME00023,Bearer checks
PME00024,Order checks
PME00025,Order checks
PME00026,Account payee checks
PME00027,Counter checks
PME00028,Bearer checks
PME00029,Bearer checks
PME00030,Counter checks
PME00031,Account payee checks
PME00032,Order checks
PME00033,Bearer checks
PME00034,Counter checks
PME00035,Account payee checks
PME00036,Account payee checks
PME00037,Account payee checks
PME00038,Order checks
PME00039,Order checks
PME00040,Counter checks
PME00041,Order checks
PME00042,Bearer checks
PME00043,Account payee checks
PME00044,Account payee checks
PME00045,Counter checks
PME00046,Order checks
PME00047,Order checks
PME00048,Bearer checks
PME00049,Account payee checks
PME00050,Counter checks
PME00051,Bearer checks
PME00052,Account payee checks
PME00053,Account payee checks
PME00054,Order checks
PME00055,Order checks
PME00056,Bearer checks
PME00057,Order checks
PME00058,Order checks
PME00059,Order checks
PME00060,Order checks
PME00061,Account payee checks
PME00062,Order checks
PME00063,Counter checks
PME00064,Bearer checks
PME00065,Bearer checks
PME00066,Order checks
PME00067,Account payee checks
PME00068,Bearer checks
PME00069,Counter checks
PME00070,Counter checks
PME00071,Account payee checks
PME00072,Account payee checks
PME00073,Counter checks
PME00074,Order checks
PME00075,Counter checks
PME00076,Account payee checks
PME00077,Order checks
PME00078,Counter checks
PME00079,Bearer checks
PME00080,Bearer checks
PME00081,Counter checks
PME00082,Account payee checks
PME00083,Counter checks
PME00084,Counter checks
PME00085,Account payee checks
PME00086,Account payee checks
PME00087,Account payee checks
PME00088,Account payee checks
PME00089,Counter checks
PME00090,Account payee checks
PME00091,Order checks
PME00092,Order checks
PME00093,Counter checks
PME00094,Order checks
PME00095,Account payee checks
PME00096,Counter checks
PME00097,Counter checks
PME00098,Account payee checks
PME00099,Bearer checks
PME00100,Counter checks
PME00101,Counter checks
PME00102,Bearer checks
PME00103,Account payee checks
PME00104,Account payee checks
PME00105,Counter checks
PME00106,Bearer checks
PME00107,Order checks
PME00108,Counter checks
PME00109,Account payee checks
PME00110,Counter checks
PME00111,Counter checks
PME00112,Account payee checks
PME00113,Account payee checks
PME00114,Order checks
PME00115,Order checks
PME00116,Counter checks
PME00117,Order checks
PME00118,Counter checks
PME00119,Order checks
PME00120,Order checks
PME00121,Counter checks
PME00122,Bearer checks
PME00123,Order checks
PME00124,Bearer checks
PME00125,Counter checks
PME00126,Counter checks
PME00127,Order checks
