stage_id,stage
STA00001,Negotiation
STA00002,Won
STA00003,Prospecting
STA00004,Closed
STA00005,Closed
STA00006,Prospecting
STA00007,Closed
STA00008,Won
STA00009,Closed
STA00010,Won
STA00011,Prospecting
STA00012,Closed
STA00013,Closed
STA00014,Closed
STA00015,Negotiation
STA00016,Won
STA00017,Negotiation
STA00018,Closed
STA00019,Won
STA00020,Negotiation
STA00021,Closed
STA00022,Negotiation
STA00023,Won
STA00024,Won
STA00025,Negotiation
STA00026,Negotiation
STA00027,Closed
STA00028,Prospecting
STA00029,Won
STA00030,Negotiation
STA00031,Closed
STA00032,Closed
STA00033,Negotiation
STA00034,Closed
STA00035,Closed
STA00036,Closed
STA00037,Closed
STA00038,Won
STA00039,Won
STA00040,Prospecting
STA00041,Closed
STA00042,Prospecting
STA00043,Negotiation
STA00044,Negotiation
STA00045,Prospecting
STA00046,Closed
STA00047,Negotiation
STA00048,Prospecting
STA00049,Prospecting
STA00050,Closed
STA00051,Prospecting
STA00052,Won
STA00053,Won
STA00054,Won
STA00055,Won
STA00056,Negotiation
STA00057,Closed
STA00058,Closed
STA00059,Closed
STA00060,Closed
STA00061,Won
STA00062,Prospecting
STA00063,Prospecting
STA00064,Prospecting
STA00065,Closed
STA00066,Negotiation
STA00067,Won
STA00068,Negotiation
STA00069,Won
STA00070,Negotiation
STA00071,Prospecting
STA00072,Won
STA00073,Closed
STA00074,Prospecting
STA00075,Negotiation
STA00076,Won
STA00077,Negotiation
STA00078,Negotiation
STA00079,Negotiation
STA00080,Negotiation
STA00081,Closed
STA00082,Closed
STA00083,Won
STA00084,Negotiation
STA00085,Negotiation
STA00086,Negotiation
STA00087,Won
STA00088,Closed
STA00089,Prospecting
STA00090,Prospecting
STA00091,Won
STA00092,Prospecting
STA00093,Prospecting
STA00094,Negotiation
STA00095,Prospecting
STA00096,Won
STA00097,Prospecting
STA00098,Won
STA00099,Closed
STA00100,Negotiation
STA00101,Closed
STA00102,Won
STA00103,Negotiation
STA00104,Prospecting
STA00105,Closed
STA00106,Prospecting
STA00107,Closed
STA00108,Closed
STA00109,Negotiation
STA00110,Closed
STA00111,Negotiation
STA00112,Closed
STA00113,Won
STA00114,Won
STA00115,Negotiation
STA00116,Closed
STA00117,Negotiation
STA00118,Won
STA00119,Negotiation
STA00120,Prospecting
STA00121,Prospecting
STA00122,Prospecting
STA00123,Negotiation
STA00124,Closed
STA00125,Prospecting
STA00126,Negotiation
STA00127,Negotiation
STA00128,Prospecting
STA00129,Won
STA00130,Won
STA00131,Closed
STA00132,Closed
STA00133,Prospecting
STA00134,Closed
STA00135,Prospecting
STA00136,Closed
STA00137,Closed
STA00138,Won
STA00139,Won
STA00140,Negotiation
STA00141,Closed
STA00142,Negotiation
STA00143,Closed
STA00144,Prospecting
STA00145,Negotiation
STA00146,Closed
STA00147,Won
STA00148,Negotiation
STA00149,Prospecting
STA00150,Prospecting
STA00151,Won
STA00152,Won
STA00153,Negotiation
STA00154,Closed
STA00155,Closed
STA00156,Closed
STA00157,Negotiation
STA00158,Negotiation
STA00159,Closed
STA00160,Closed
STA00161,Prospecting
STA00162,Prospecting
STA00163,Won
STA00164,Won
STA00165,Negotiation
STA00166,Won
STA00167,Won
STA00168,Negotiation
STA00169,Won
STA00170,Prospecting
STA00171,Negotiation
STA00172,Won
STA00173,Closed
STA00174,Closed
STA00175,Prospecting
STA00176,Closed
STA00177,Closed
STA00178,Won
STA00179,Negotiation
STA00180,Won
STA00181,Closed
STA00182,Won
